gene_name	source
CD79B	"CHORD paper, CGI"
CDC27	"CHORD paper, CGI"
CDC73	"CHORD paper, CGI"
CDH1	"CHORD paper, CGI"
CDK12	"CHORD paper, CGI"
CDK2	"CHORD paper, CGI"
CDK4	"CHORD paper, CGI"
CDK6	"CHORD paper, CGI"
CDKN1A	"CHORD paper, CGI"
CDKN1B	"CHORD paper, CGI"
CDKN2A	"CHORD paper, CGI"
CDKN2B	"CHORD paper, CGI"
CDKN2C	"CHORD paper, CGI"
CDX2	"CHORD paper, CGI"
CEBPA	"CHORD paper, CGI"
CEP290	"CHORD paper, CGI"
CHCHD7	"CHORD paper, CGI"
CHD1	"CHORD paper, CGI"
CHD1L	"CHORD paper, CGI"
CHD2	"CHORD paper, CGI"
CHD3	"CHORD paper, CGI"
CHD4	"CHORD paper, CGI"
CHD6	"CHORD paper, CGI"
CHD8	"CHORD paper, CGI"
CHD9	"CHORD paper, CGI"
CHEK1	"CHORD paper, CGI"
CHEK2	"CHORD paper, CGI"
CHIC2	"CHORD paper, CGI"
CIC	"CHORD paper, CGI"
CIITA	"CHORD paper, CGI"
CLASP2	"CHORD paper, CGI"
CLCC1	"CHORD paper, CGI"
CLCN2	"CHORD paper, CGI"
CLOCK	"CHORD paper, CGI"
CLSPN	"CHORD paper, CGI"
CLTC	"CHORD paper, CGI"
CLTCL1	"CHORD paper, CGI"
CNBP	"CHORD paper, CGI"
CNOT1	"CHORD paper, CGI"
CNOT3	"CHORD paper, CGI"
CNOT4	"CHORD paper, CGI"
CNTNAP1	"CHORD paper, CGI"
COL1A1	"CHORD paper, CGI"
COPS2	"CHORD paper, CGI"
COPS3	"CHORD paper, CGI"
COPS4	"CHORD paper, CGI"
COPS5	"CHORD paper, CGI"
COPS6	"CHORD paper, CGI"
COX6C	"CHORD paper, CGI"
CR1	"CHORD paper, CGI"
CRBN	"CHORD paper, CGI"
CREB3L1	"CHORD paper, CGI"
CREB3L2	"CHORD paper, CGI"
CREBBP	"CHORD paper, CGI"
CRLF2	"CHORD paper, CGI"
CRNKL1	"CHORD paper, CGI"
CRTC3	"CHORD paper, CGI"
CSDE1	"CHORD paper, CGI"
CSF1R	"CHORD paper, CGI"
CSF3R	"CHORD paper, CGI"
CSNK1A1	"CHORD paper, CGI"
CSNK1G3	"CHORD paper, CGI"
CSNK2A1	"CHORD paper, CGI"
CTCF	"CHORD paper, CGI"
CTNNB1	"CHORD paper, CGI"
CTNND1	"CHORD paper, CGI"
CTTN	"CHORD paper, CGI"
CUL1	"CHORD paper, CGI"
CUL2	"CHORD paper, CGI"
CUL3	"CHORD paper, CGI"
CUL4A	"CHORD paper, CGI"
CUX1	"CHORD paper, CGI"
CYLD	"CHORD paper, CGI"
CYTH4	"CHORD paper, CGI"
DAXX	"CHORD paper, CGI"
DCC	"CHORD paper, CGI"
DDB1	"CHORD paper, CGI"
DDB2	"CHORD paper, CGI"
DDR2	"CHORD paper, CGI"
DDX3X	"CHORD paper, CGI"
DDX5	"CHORD paper, CGI"
DEPDC1B	"CHORD paper, CGI"
DHX15	"CHORD paper, CGI"
DHX35	"CHORD paper, CGI"
DHX9	"CHORD paper, CGI"
DICER1	"CHORD paper, CGI"
DIS3	"CHORD paper, CGI"
DLC1	"CHORD paper, CGI"
DLG1	"CHORD paper, CGI"
DMC1	"CHORD paper, CGI"
DNM2	"CHORD paper, CGI"
DNMT3A	"CHORD paper, CGI"
DPYD	"CHORD paper, CGI"
ECT2L	"CHORD paper, CGI"
EEF1A1	"CHORD paper, CGI"
EEF1B2	"CHORD paper, CGI"
EFTUD2	"CHORD paper, CGI"
EGFR	"CHORD paper, CGI"
EIF1AX	"CHORD paper, CGI"
EIF2AK3	"CHORD paper, CGI"
EIF4A2	"CHORD paper, CGI"
EIF4G1	"CHORD paper, CGI"
EIF4G3	"CHORD paper, CGI"
ELF1	"CHORD paper, CGI"
ELF3	"CHORD paper, CGI"
ELF4	"CHORD paper, CGI"
EME1	"CHORD paper, CGI"
EME2	"CHORD paper, CGI"
KMT2B	"CHORD paper, CGI"
EP300	"CHORD paper, CGI"
EPHA1	"CHORD paper, CGI"
EPHA2	"CHORD paper, CGI"
EPHA3	"CHORD paper, CGI"
EPHA4	"CHORD paper, CGI"
EPHB2	"CHORD paper, CGI"
ERBB2	"CHORD paper, CGI"
ERBB2IP	"CHORD paper, CGI"
ERBB3	"CHORD paper, CGI"
ERBB4	"CHORD paper, CGI"
ERCC1	"CHORD paper, CGI"
ERCC2	"CHORD paper, CGI"
ERCC3	"CHORD paper, CGI"
ERCC4	"CHORD paper, CGI"
ERCC5	"CHORD paper, CGI"
ERCC6	"CHORD paper, CGI"
ESR1	"CHORD paper, CGI"
ETNK1	"CHORD paper, CGI"
ETV5	"CHORD paper, CGI"
ETV6	"CHORD paper, CGI"
EWSR1	"CHORD paper, CGI"
EXT1	"CHORD paper, CGI"
EXT2	"CHORD paper, CGI"
EZH2	"CHORD paper, CGI"
F8	"CHORD paper, CGI"
FAF1	"CHORD paper, CGI"
FAM175A	"CHORD paper, CGI"
FAM46C	"CHORD paper, CGI"
FAN1	"CHORD paper, CGI"
FANCA	"CHORD paper, CGI"
FANCB	"CHORD paper, CGI"
FANCC	"CHORD paper, CGI"
FANCD2	"CHORD paper, CGI"
FANCE	"CHORD paper, CGI"
FANCF	"CHORD paper, CGI"
FANCG	"CHORD paper, CGI"
FANCI	"CHORD paper, CGI"
FANCL	"CHORD paper, CGI"
FANCM	"CHORD paper, CGI"
FAS	"CHORD paper, CGI"
FAT1	"CHORD paper, CGI"
FAT2	"CHORD paper, CGI"
FBXO11	"CHORD paper, CGI"
FBXW7	"CHORD paper, CGI"
FCRL4	"CHORD paper, CGI"
FGF3	"CHORD paper, CGI"
FGF4	"CHORD paper, CGI"
FGFR1	"CHORD paper, CGI"
FGFR2	"CHORD paper, CGI"
FGFR3	"CHORD paper, CGI"
FGFR4	"CHORD paper, CGI"
FH	"CHORD paper, CGI"
FIP1L1	"CHORD paper, CGI"
FKBP5	"CHORD paper, CGI"
FLCN	"CHORD paper, CGI"
FLT3	"CHORD paper, CGI"
FLT4	"CHORD paper, CGI"
FMR1	"CHORD paper, CGI"
FN1	"CHORD paper, CGI"
FNBP1	"CHORD paper, CGI"
FOXA1	"CHORD paper, CGI"
FOXA2	"CHORD paper, CGI"
FOXL2	"CHORD paper, CGI"
FOXO1	"CHORD paper, CGI"
FOXP1	"CHORD paper, CGI"
FRG1	"CHORD paper, CGI"
FRG1B	"CHORD paper, CGI"
FRS2	"CHORD paper, CGI"
FUBP1	"CHORD paper, CGI"
FUS	"CHORD paper, CGI"
FXR1	"CHORD paper, CGI"
G3BP1	"CHORD paper, CGI"
G3BP2	"CHORD paper, CGI"
G6PD	"CHORD paper, CGI"
GATA1	"CHORD paper, CGI"
GATA2	"CHORD paper, CGI"
GATA3	"CHORD paper, CGI"
GEN1	"CHORD paper, CGI"
GJB2	"CHORD paper, CGI"
GNA11	"CHORD paper, CGI"
GNA13	"CHORD paper, CGI"
GNAI1	"CHORD paper, CGI"
GNAI2	"CHORD paper, CGI"
GNAQ	"CHORD paper, CGI"
GNAS	"CHORD paper, CGI"
GNG2	"CHORD paper, CGI"
GOLGA5	"CHORD paper, CGI"
GPC3	"CHORD paper, CGI"
GPS2	"CHORD paper, CGI"
GPSM2	"CHORD paper, CGI"
GTF2F2	"CHORD paper, CGI"
H3F3A	"CHORD paper, CGI"
H3F3B	"CHORD paper, CGI"
HCFC1	"CHORD paper, CGI"
HDAC2	"CHORD paper, CGI"
HDAC3	"CHORD paper, CGI"
HDAC9	"CHORD paper, CGI"
HERC2	"CHORD paper, CGI"
HES1	"CHORD paper, CGI"
HGF	"CHORD paper, CGI"
HIC2	"CHORD paper, CGI"
HIST1H3D	"CHORD paper, CGI"
HIST1H3J	"CHORD paper, CGI"
HLA-A	"CHORD paper, CGI"
HLA-B	"CHORD paper, CGI"
HLF	"CHORD paper, CGI"
HNF1A	"CHORD paper, CGI"
HNRNPA2B1	"CHORD paper, CGI"
HNRNPDL	"CHORD paper, CGI"
HOOK3	"CHORD paper, CGI"
HRAS	"CHORD paper, CGI"
HSP90AA1	"CHORD paper, CGI"
HSP90AB1	"CHORD paper, CGI"
HSPA8	"CHORD paper, CGI"
IDH1	"CHORD paper, CGI"
IDH2	"CHORD paper, CGI"
IGF2R	"CHORD paper, CGI"
IKBKB	"CHORD paper, CGI"
IKZF1	"CHORD paper, CGI"
