x	y	class
0.00198019801980198	0.00130208333333333	HeadAndNeck_Other
0.00464396284829721	0.00133689839572193	HeadAndNeck_Other
0.0110974106041924	0.00156494522691706	HeadAndNeck_Other
0.015625	0.00581395348837209	HeadAndNeck_Other
0.0224719101123595	0.00649350649350649	HeadAndNeck_Other
0.0445205479452055	0.00735294117647059	HeadAndNeck_Other
0.069060773480663	0.0377358490566038	HeadAndNeck_Other
0.0783817951959545	0.0666666666666667	HeadAndNeck_Other
0.0894039735099338	0.111111111111111	HeadAndNeck_Other
0.189473684210526	0.132352941176471	HeadAndNeck_Other
0.202718006795017	0.142857142857143	HeadAndNeck_Other
0.233256351039261	0.166666666666667	HeadAndNeck_Other
0.375	0.194444444444444	HeadAndNeck_Other
0.465025906735751	0.615384615384615	HeadAndNeck_Other
